Undefined offset: 1 : line:137 , date: 2019-12-31 06:59:05; filename: 4_5767208546638760101.csv; 
Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: gonbad-kavus_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: gorgan_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 12:41:39; filename: isfahan_2019126.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:41:39; filename: kangavar_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:01:05; filename: karaj_2019121.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:55; filename: nowshahr_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: nowshahr_20191217.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: nur_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: nurabad_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: qaemshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: qazvin_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: qeshm_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:03:56; filename: qeydar_20191214.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:04:03; filename: qom_2019128.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:04:07; filename: qom_2019129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:07; filename: qorveh_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:07; filename: rasht_2019128.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:07; filename: shahrekord_20191213.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:07; filename: shahrekord_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:07; filename: abadeh_20191129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:22; filename: ahvaz_2019126.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:04:37; filename: ahvaz_2019127.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: aliabad-katul_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: falavarjan_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: farrokhshahr_20191214.csv; 

